Portfolio,Tickers
TopRank_S10_P50,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, RMBS"
SectorBal2_S10_P50,"DAVE, QBTS, SMR, RKLB, HSAI, OKLO, RDDT, SSRM, CELH, MP"
SectorBal3_S10_P50,"DAVE, QBTS, SMR, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, SSRM"
IndustryBal_S10_P50,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, OKLO"
Stability_S10_P50,"ALGM, GNW, MRCY, NBIX, AMBA, GTLB, VICR, INCY, MHO, RMBS"
PosMomentum_S10_P50,"DAVE, QBTS, RKLB, ALAB, CIEN, HSAI, RMBS, AMBA, RDDT, SSRM"
Recommended_S10_P50,"RMBS, AMBA, INCY, MRCY, NBIX, ALGM, ELF, GNW, SOUN, GTLB"
TopRank_S15_P50,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, RMBS, OKLO, AMBA, RDDT, AEIS, MTSI"
SectorBal2_S15_P50,"DAVE, QBTS, SMR, RKLB, HSAI, OKLO, RDDT, SSRM, CELH, MP, ROKU, INCY, NBIX, ELF, GNW"
SectorBal3_S15_P50,"DAVE, QBTS, SMR, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, SSRM, CELH, MP, ROKU, INCY, NBIS"
IndustryBal_S15_P50,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, OKLO, AMBA, RDDT, AEIS, SSRM, CELH"
Stability_S15_P50,"ALGM, GNW, MRCY, NBIX, AMBA, GTLB, VICR, INCY, MHO, RMBS, ELF, IPGP, SOUN, CIEN, DOCS"
PosMomentum_S15_P50,"DAVE, QBTS, RKLB, ALAB, CIEN, HSAI, RMBS, AMBA, RDDT, SSRM, CELH, NXT, SLAB, ROKU, INCY"
HybridStability_S15_P50,"DAVE, QBTS, SMR, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, SSRM, CELH, MP, ROKU, INCY, NBIS"
TopRank_S20_P50,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, RMBS, OKLO, AMBA, RDDT, AEIS, MTSI, SSRM, CELH, NXT, MP, SLAB"
SectorBal3_S20_P50,"DAVE, QBTS, SMR, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, SSRM, CELH, MP, ROKU, INCY, NBIS, NBIX, HL, ELF, GNW, DOCS"
IndustryBal_S20_P50,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, OKLO, AMBA, RDDT, AEIS, SSRM, CELH, NXT, MP, ROKU, TWLO, INCY"
Stability_S20_P50,"ALGM, GNW, MRCY, NBIX, AMBA, GTLB, VICR, INCY, MHO, RMBS, ELF, IPGP, SOUN, CIEN, DOCS, U, NXT, DUOL, MP, SSRM"
PosMomentum_S20_P50,"DAVE, QBTS, RKLB, ALAB, CIEN, HSAI, RMBS, AMBA, RDDT, SSRM, CELH, NXT, SLAB, ROKU, INCY, NBIS, MRCY, NBIX, GWRE, ALGM"
HybridStability_S20_P50,"DAVE, QBTS, SMR, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, SSRM, CELH, MP, ROKU, INCY, NBIS, NBIX, HL, ELF, GNW, DOCS"
TopRank_S10_P100,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, RMBS"
SectorBal2_S10_P100,"DAVE, QBTS, SMR, RKLB, HSAI, OKLO, RDDT, SSRM, CELH, MP"
SectorBal3_S10_P100,"DAVE, QBTS, SMR, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, SSRM"
IndustryBal_S10_P100,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, OKLO"
Stability_S10_P100,"NVST, ALGM, GNW, MRCY, NBIX, VIAV, ZETA, AMBA, GTLB, VICR"
PosMomentum_S10_P100,"DAVE, QBTS, RKLB, ALAB, CIEN, HSAI, RMBS, AMBA, RDDT, SSRM"
Recommended_S10_P100,"RMBS, AMBA, INCY, MRCY, NBIX, ALGM, ELF, GNW, SOUN, GTLB"
TopRank_S15_P100,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, RMBS, OKLO, AMBA, RDDT, AEIS, MTSI"
SectorBal2_S15_P100,"DAVE, QBTS, SMR, RKLB, HSAI, OKLO, RDDT, SSRM, CELH, MP, ROKU, INCY, NBIX, ELF, GNW"
SectorBal3_S15_P100,"DAVE, QBTS, SMR, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, SSRM, CELH, MP, ROKU, INCY, NBIS"
IndustryBal_S15_P100,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, OKLO, AMBA, RDDT, AEIS, SSRM, CELH"
Stability_S15_P100,"NVST, ALGM, GNW, MRCY, NBIX, VIAV, ZETA, AMBA, GTLB, VICR, INCY, MHO, RMBS, CYBR, MDB"
PosMomentum_S15_P100,"DAVE, QBTS, RKLB, ALAB, CIEN, HSAI, RMBS, AMBA, RDDT, SSRM, CELH, NXT, SLAB, ROKU, INCY"
Recommended_S15_P100,"RMBS, AMBA, INCY, MRCY, NBIX, ALGM, ELF, GNW, SOUN, GTLB, MHO, VICR, IPGP, RIOT, NVST"
HybridStability_S15_P100,"DAVE, QBTS, SMR, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, SSRM, CELH, MP, ROKU, INCY, NBIS"
TopRank_S20_P100,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, RMBS, OKLO, AMBA, RDDT, AEIS, MTSI, SSRM, CELH, NXT, MP, SLAB"
SectorBal3_S20_P100,"DAVE, QBTS, SMR, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, SSRM, CELH, MP, ROKU, INCY, NBIS, NBIX, HL, ELF, GNW, DOCS"
IndustryBal_S20_P100,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, OKLO, AMBA, RDDT, AEIS, SSRM, CELH, NXT, MP, ROKU, TWLO, INCY"
Stability_S20_P100,"NVST, ALGM, GNW, MRCY, NBIX, VIAV, ZETA, AMBA, GTLB, VICR, INCY, MHO, RMBS, CYBR, MDB, ELF, IPGP, SOUN, MBLY, SFIX"
PosMomentum_S20_P100,"DAVE, QBTS, RKLB, ALAB, CIEN, HSAI, RMBS, AMBA, RDDT, SSRM, CELH, NXT, SLAB, ROKU, INCY, NBIS, MRCY, NBIX, GWRE, ALGM"
Recommended_S20_P100,"RMBS, AMBA, INCY, MRCY, NBIX, ALGM, ELF, GNW, SOUN, GTLB, MHO, VICR, IPGP, RIOT, NVST, LSCC, CYBR, UPWK, VIAV, MDB"
HybridStability_S20_P100,"DAVE, QBTS, SMR, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, SSRM, CELH, MP, ROKU, INCY, NBIS, NBIX, HL, ELF, GNW, DOCS"
TopRank_S10_P150,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, RMBS"
SectorBal2_S10_P150,"DAVE, QBTS, SMR, RKLB, HSAI, OKLO, RDDT, SSRM, CELH, MP"
SectorBal3_S10_P150,"DAVE, QBTS, SMR, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, SSRM"
IndustryBal_S10_P150,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, OKLO"
Stability_S10_P150,"NVST, ALGM, GNW, MRCY, NTCT, NBIX, VIAV, ZETA, AMBA, PPBI"
PosMomentum_S10_P150,"DAVE, QBTS, RKLB, ALAB, CIEN, HSAI, RMBS, AMBA, RDDT, SSRM"
Recommended_S10_P150,"RMBS, AMBA, INCY, MRCY, NBIX, ALGM, ELF, GNW, SOUN, GTLB"
TopRank_S15_P150,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, RMBS, OKLO, AMBA, RDDT, AEIS, MTSI"
SectorBal2_S15_P150,"DAVE, QBTS, SMR, RKLB, HSAI, OKLO, RDDT, SSRM, CELH, MP, ROKU, INCY, NBIX, ELF, GNW"
SectorBal3_S15_P150,"DAVE, QBTS, SMR, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, SSRM, CELH, MP, ROKU, INCY, NBIS"
IndustryBal_S15_P150,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, OKLO, AMBA, RDDT, AEIS, SSRM, CELH"
Stability_S15_P150,"NVST, ALGM, GNW, MRCY, NTCT, NBIX, VIAV, ZETA, AMBA, PPBI, GTLB, VICR, ZM, DECK, INCY"
PosMomentum_S15_P150,"DAVE, QBTS, RKLB, ALAB, CIEN, HSAI, RMBS, AMBA, RDDT, SSRM, CELH, NXT, SLAB, ROKU, INCY"
Recommended_S15_P150,"RMBS, AMBA, INCY, MRCY, NBIX, ALGM, ELF, GNW, SOUN, GTLB, MHO, VICR, IPGP, RIOT, NVST"
HybridStability_S15_P150,"DAVE, QBTS, SMR, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, SSRM, CELH, MP, ROKU, INCY, NBIS"
TopRank_S20_P150,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, RMBS, OKLO, AMBA, RDDT, AEIS, MTSI, SSRM, CELH, NXT, MP, SLAB"
SectorBal3_S20_P150,"DAVE, QBTS, SMR, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, SSRM, CELH, MP, ROKU, INCY, NBIS, NBIX, HL, ELF, GNW, DOCS"
IndustryBal_S20_P150,"DAVE, QBTS, SMR, RKLB, CRDO, ALAB, AVAV, CIEN, HSAI, OKLO, AMBA, RDDT, AEIS, SSRM, CELH, NXT, MP, ROKU, TWLO, INCY"
Stability_S20_P150,"NVST, ALGM, GNW, MRCY, NTCT, NBIX, VIAV, ZETA, AMBA, PPBI, GTLB, VICR, ZM, DECK, INCY, MHO, RMBS, IOT, MHK, CYBR"
PosMomentum_S20_P150,"DAVE, QBTS, RKLB, ALAB, CIEN, HSAI, RMBS, AMBA, RDDT, SSRM, CELH, NXT, SLAB, ROKU, INCY, NBIS, MRCY, NBIX, GWRE, ALGM"
Recommended_S20_P150,"RMBS, AMBA, INCY, MRCY, NBIX, ALGM, ELF, GNW, SOUN, GTLB, MHO, VICR, IPGP, RIOT, NVST, LSCC, CYBR, UPWK, VIAV, MDB"
HybridStability_S20_P150,"DAVE, QBTS, SMR, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, SSRM, CELH, MP, ROKU, INCY, NBIS, NBIX, HL, ELF, GNW, DOCS"
