regime,regime_name,start_date,end_date,days,mean_return,volatility,sharpe
0,Steady Growth,2016-02-29,2016-03-17,16,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2016-05-03,2016-05-24,21,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2016-06-10,2016-06-23,13,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2016-07-08,2016-07-12,3,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2016-09-23,2016-11-21,59,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2017-04-10,2017-04-28,17,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2017-05-17,2017-06-01,15,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2017-06-27,2017-07-12,15,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2017-08-10,2017-08-16,6,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2017-08-24,2017-09-11,17,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2017-11-15,2017-11-20,5,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2017-11-28,2017-12-01,3,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2018-01-29,2018-02-01,3,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2018-02-20,2018-03-21,28,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2018-04-10,2018-05-15,35,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2018-05-25,2018-06-06,11,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2018-06-25,2018-07-10,15,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2018-10-04,2018-10-09,5,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2018-11-07,2018-11-09,2,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2018-11-28,2018-12-03,5,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2019-01-24,2019-02-12,18,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2019-03-22,2019-03-25,3,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2019-05-07,2019-06-26,50,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2019-07-31,2019-08-02,2,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2019-08-19,2019-08-22,3,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2019-08-28,2019-10-01,34,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2019-10-09,2019-10-16,6,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2019-12-03,2019-12-10,7,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2020-01-27,2020-02-10,14,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2020-02-21,2020-02-21,0,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2020-06-29,2020-07-14,14,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2020-09-18,2020-10-27,39,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2020-11-17,2020-11-20,2,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2021-01-15,2021-01-19,4,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2021-01-29,2021-02-10,11,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2021-02-25,2021-03-03,6,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2021-03-11,2021-03-15,3,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2021-05-11,2021-05-26,14,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2021-06-18,2021-06-25,7,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2021-07-19,2021-07-23,4,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2021-08-18,2021-08-20,2,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2021-09-10,2021-10-19,39,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2021-12-10,2022-01-18,39,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2022-02-01,2022-02-09,8,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2022-03-21,2022-04-21,31,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2022-08-23,2022-08-25,2,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2022-08-31,2022-09-12,12,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2022-11-04,2022-11-08,4,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2022-12-07,2023-02-03,57,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2023-02-16,2023-04-05,47,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2023-04-25,2023-05-09,14,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2023-05-23,2023-05-30,7,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2023-08-02,2023-10-19,78,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2023-11-02,2023-11-16,14,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2023-12-20,2023-12-21,1,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2024-02-13,2024-02-14,1,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2024-04-04,2024-05-08,34,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2024-05-30,2024-05-31,1,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2024-07-17,2024-08-01,15,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2024-08-09,2024-09-19,40,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2024-10-01,2024-10-16,15,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2024-10-23,2024-11-18,26,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2024-12-23,2025-02-13,51,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2025-02-21,2025-02-28,7,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2025-03-20,2025-03-27,7,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2025-05-27,2025-06-02,5,0.10136869336012753,0.09797402934429314,1.0346486108467083
0,Steady Growth,2025-08-01,2025-08-15,14,0.10136869336012753,0.09797402934429314,1.0346486108467083
1,Strong Bull,2016-03-17,2016-05-02,46,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2016-05-24,2016-06-09,16,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2016-07-12,2016-09-08,58,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2016-11-21,2017-04-10,139,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2017-04-28,2017-05-16,18,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2017-06-01,2017-06-26,25,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2017-07-12,2017-08-09,28,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2017-09-11,2017-11-14,64,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2017-11-20,2018-01-29,69,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2018-05-16,2018-05-25,9,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2018-06-06,2018-06-22,16,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2018-07-10,2018-10-04,85,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2019-02-12,2019-05-06,82,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2019-06-20,2019-07-30,40,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2019-10-16,2019-12-02,47,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2019-12-11,2020-01-24,44,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2020-02-10,2020-02-20,10,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2020-07-14,2020-09-01,49,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2020-11-20,2021-01-26,67,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2021-02-10,2021-02-24,14,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2021-03-15,2021-05-11,56,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2021-05-26,2021-06-17,22,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2021-06-25,2021-07-16,21,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2021-07-23,2021-09-09,48,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2021-10-19,2021-11-24,36,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2023-02-03,2023-02-15,12,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2023-04-05,2023-04-24,19,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2023-05-09,2023-05-22,13,0.1599980385926606,0.05466615823346914,2.926820610099183
