Factor,Weight,Correlation,Effectiveness
financial_health,25.0,0.061487824607285274,1.5371956151821318
credit,35.0,0.035154092342152256,1.230393231975329
momentum,5.0,0.21027960340058613,1.0513980170029307
value,0.0,-0.06358763226028039,-0.0
technical,0.0,-0.10487212044259023,-0.0
insider,0.0,0.021527555561519755,0.0
stability,0.0,-0.1893396241709265,-0.0
size,0.0,0.12266936964862488,0.0
carry,0.0,-0.12475418041180415,-0.0
growth,0.0,0.011527852204796674,0.0
quality,15.0,-0.010779129972947858,-0.16168694959421787
liquidity,20.0,-0.056059178720917625,-1.1211835744183525
