Factor,Weight,Correlation,Effectiveness
momentum,45.0,0.42783205529838314,19.252442488427242
technical,10.0,0.6315568644589713,6.315568644589713
credit,10.0,0.21050305703865,2.1050305703865
size,-5.0,-0.4084875151640677,2.0424375758203386
quality,20.0,0.10094210680494962,2.0188421360989923
financial_health,10.0,0.09979910927336004,0.9979910927336004
insider,-3.0,-0.2983201612991552,0.8949604838974655
growth,10.0,0.0621291218853729,0.6212912188537291
carry,0.0,-0.1277866085980036,-0.0
liquidity,3.0,-0.010429970681037461,-0.031289912043112385
volatility_penalty,-5.0,0.2218856037178124,-1.1094280185890621
value,5.0,-0.3654473472657547,-1.8272367363287734
