Factor,Weight,Correlation,Effectiveness
momentum,45.0,0.2513881360864266,11.312466123889196
quality,20.0,0.3151454029479849,6.302908058959698
credit,10.0,0.5536862896729581,5.5368628967295805
financial_health,10.0,0.2795909444703731,2.7959094447037307
growth,10.0,0.20785412820832355,2.0785412820832354
size,-5.0,-0.24420488101590937,1.221024405079547
volatility_penalty,-5.0,-0.2117941566404468,1.058970783202234
insider,-3.0,-0.1759183872600566,0.5277551617801698
liquidity,3.0,0.02487035635795469,0.07461106907386407
carry,0.0,-0.2704669236491051,-0.0
technical,10.0,-0.017405264425852617,-0.17405264425852618
value,5.0,-0.3780475075043895,-1.8902375375219473
