Factor,Weight,Correlation,Effectiveness
momentum,50.0,0.42783205529838314,21.391602764919156
technical,12.0,0.6315568644589713,7.578682373507656
credit,10.0,0.21050305703865,2.1050305703865
quality,20.0,0.10094210680494962,2.0188421360989923
size,-4.0,-0.4084875151640677,1.633950060656271
financial_health,10.0,0.09979910927336004,0.9979910927336004
value,-2.0,-0.3654473472657547,0.7308946945315093
growth,10.0,0.0621291218853729,0.6212912188537291
insider,-2.0,-0.2983201612991552,0.5966403225983103
carry,-2.0,-0.1307157266139757,0.2614314532279514
liquidity,3.0,-0.010429970681037461,-0.031289912043112385
volatility_penalty,-5.0,0.2218856037178124,-1.1094280185890621
