Factor,Weight,Correlation,Effectiveness
credit,8.33,0.5536862896729581,4.612206792975741
quality,8.33,0.3151454029479849,2.6251612065567143
financial_health,8.33,0.2795909444703731,2.328992567438208
momentum,8.34,0.2513881360864266,2.0965770549607976
growth,8.33,0.20785412820832355,1.7314248879753351
liquidity,8.33,0.02487035635795469,0.20717006846176256
technical,8.33,-0.017405264425852617,-0.1449858526673523
insider,8.33,-0.1759183872600566,-1.4654001658762714
stability,8.33,-0.2117941566404468,-1.7642453248149217
size,8.33,-0.24420488101590937,-2.034226658862525
carry,8.33,-0.269310241337964,-2.2433543103452402
value,8.33,-0.37765397228352243,-3.145857589121742
