Factor,Weight,Correlation,Effectiveness
credit,52.4,0.5184008341783645,27.164203710946296
momentum,19.5,0.2513881360864266,4.902068653685318
quality,15.1,0.3151454029479849,4.758695584514571
financial_health,12.0,0.2804346782447742,3.3652161389372903
value,-6.1,-0.3777111982560385,2.3040383093618346
growth,9.1,0.2021192991248543,1.839285622036174
carry,-3.0,-0.2716055676152702,0.8148167028458106
stability,-2.3,-0.2117941566404468,0.4871265602730276
size,-1.8,-0.24269930329700393,0.43685874593460705
insider,-1.2,-0.1759183872600566,0.2111020647120679
liquidity,3.0,0.02487035635795469,0.07461106907386407
technical,3.3,-0.017405264425852617,-0.05743737260531363
