Factor,Weight,Correlation,Effectiveness
momentum,50.0,0.2149922797358303,10.749613986791514
size,25.0,0.09215830224489176,2.303957556122294
insider,3.0,0.028994375092724334,0.086983125278173
value,0.0,-0.004648389100688181,-0.0
liquidity,0.0,0.033781353891902566,0.0
technical,0.0,-0.1041970014567286,-0.0
quality,0.0,-0.06548655032726136,-0.0
stability,0.0,-0.15611298984120894,-0.0
carry,0.0,0.019483105467215576,0.0
growth,2.0,-0.013054782802402487,-0.026109565604804975
credit,5.0,-0.008492250430475922,-0.042461252152379614
financial_health,15.0,-0.024688305367748645,-0.3703245805162297
