Factor,Weight,Correlation,Effectiveness
credit,48.6,0.5184008341783645,25.194280541068515
quality,18.1,0.3151454029479849,5.704131793358527
momentum,18.1,0.2513881360864266,4.550125263164321
financial_health,14.4,0.2804346782447742,4.038259366724748
value,-7.3,-0.3777111982560385,2.7572917472690808
growth,10.9,0.2021192991248543,2.203100360460912
carry,-3.6,-0.2716055676152702,0.9777800434149728
stability,-3.0,-0.2117941566404468,0.6353824699213404
size,-2.2,-0.24269930329700393,0.5339384672534087
insider,-1.4,-0.1759183872600566,0.24628574216407922
liquidity,3.6,0.02487035635795469,0.08953328288863689
technical,3.8,-0.017405264425852617,-0.06614000481823994
