Factor,Weight,Correlation,Effectiveness
credit,8.33,0.4793114563676415,3.9926644315424538
quality,8.33,0.3159104528453345,2.631534072201636
financial_health,8.33,0.26858858485102016,2.237342911808998
momentum,8.34,0.1949417279128957,1.6258140107935501
growth,8.33,0.18183780685581136,1.5147089311089086
liquidity,8.33,0.023401015487449845,0.19493045901045722
technical,8.33,-0.07650849328928921,-0.6373157490997792
insider,8.33,-0.15733739009423228,-1.3106204594849549
size,8.33,-0.20900748835227279,-1.7410323779744323
stability,8.33,-0.23350250209757045,-1.9450758424727619
carry,8.33,-0.2990760940478204,-2.4913038634183438
value,8.33,-0.3680852749237252,-3.066150340114631
