ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
MP,15,72.77,-0.085,0.872,0.39,0.005,0.43,3.0,64.2,63.46,56.84,40.84,BUY - Stable quality
KEYS,15,49.67,0.119,0.886,0.54,0.011,0.14,212.53,78.33,43.99,50.33,32.59,HOLD - Modest potential
TLN,15,54.57,-0.066,0.849,0.31,0.006,0.43,101.73,63.47,46.31,42.53,32.48,WATCH - Monitor for opportunity
INMD,15,53.44,0.091,0.727,0.46,0.009,0.07,122.73,72.37,38.83,43.17,29.56,WATCH - Monitor for opportunity
LITE,15,62.81,0.243,0.765,1.2,0.019,0.21,29.2,75.33,48.06,61.08,27.77,WATCH - Monitor for opportunity
ULTA,15,52.19,0.248,0.879,1.14,0.022,0.57,147.6,85.61,45.87,58.49,27.32,WATCH - Monitor for opportunity
CLS,15,67.03,-0.022,0.474,0.14,0.002,0.43,10.27,52.57,31.76,30.87,27.08,WATCH - Monitor for opportunity
IPGP,15,49.95,0.239,0.893,1.09,0.022,0.29,205.07,80.31,44.6,56.53,27.01,WATCH - Monitor for opportunity
AMBA,15,60.98,0.393,0.891,1.8,0.029,0.29,38.33,79.51,54.36,74.85,26.75,WATCH - Monitor for opportunity
PLTR,15,58.13,0.06,0.572,0.34,0.006,0.07,61.4,68.0,33.27,35.75,26.6,WATCH - Monitor for opportunity
ENOV,15,45.69,0.095,0.727,0.48,0.01,0.14,350.4,73.63,33.24,37.09,25.08,WATCH - Monitor for opportunity
NICE,15,51.01,0.08,0.638,0.43,0.008,0.29,173.07,74.02,32.56,35.78,24.96,AVOID - Poor risk-adjusted score
URBN,15,59.63,0.221,0.71,1.13,0.019,0.14,48.2,72.26,42.33,52.97,24.83,AVOID - Poor risk-adjusted score
DLTR,15,37.03,0.138,0.929,0.62,0.017,0.43,660.67,84.78,34.41,40.11,24.79,AVOID - Poor risk-adjusted score
NBIX,15,48.85,0.188,0.777,0.92,0.019,0.14,241.67,74.29,37.98,46.31,24.08,AVOID - Poor risk-adjusted score
DECK,15,47.43,0.166,0.764,0.82,0.017,0.43,289.0,79.77,36.24,43.34,23.83,AVOID - Poor risk-adjusted score
GWRE,15,56.67,-0.158,0.891,0.72,0.013,0.14,76.47,58.31,50.5,41.01,23.8,AVOID - Poor risk-adjusted score
RBLX,15,47.97,-0.065,0.705,0.33,0.007,0.29,273.27,56.18,33.83,31.12,23.36,AVOID - Poor risk-adjusted score
