ticker,CompanyName,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
CRM,"Salesforce, Inc.",Technology,Software - Application,56,79.2,-0.035,0.852,0.6,0.008,0.16,127.91,58.06,67.46,64.55,40.24,BUY - Stable quality
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,56,77.54,0.033,0.793,0.6,0.008,0.15,147.75,75.91,61.46,64.01,39.89,BUY - High score acceptable risk
VEEV,Veeva Systems Inc.,Healthcare,Health Information Services,56,95.97,-0.036,0.72,0.68,0.007,0.16,5.96,54.15,69.05,65.96,39.2,BUY - High score acceptable risk
QLYS,"Qualys, Inc.",Technology,Software - Infrastructure,56,89.07,-0.03,0.705,0.57,0.006,0.02,30.2,50.86,62.77,60.44,38.45,BUY - High score acceptable risk
MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,56,68.1,0.045,0.906,0.76,0.011,0.15,274.38,78.97,61.7,65.15,36.93,HOLD - Stable but flat
RMBS,Rambus Inc.,Technology,Semiconductors,56,96.86,0.063,0.759,1.17,0.012,0.13,5.34,74.12,73.56,79.29,36.61,BUY - High score acceptable risk
LSCC,Lattice Semiconductor Corporation,Technology,Semiconductors,56,81.25,0.057,0.842,1.01,0.012,0.05,105.46,75.11,68.4,73.27,36.48,BUY - High score acceptable risk
WDAY,"Workday, Inc.",Technology,Software - Application,56,83.83,-0.046,0.84,0.82,0.01,0.04,74.79,54.95,70.42,66.35,36.46,BUY - High score acceptable risk
PCTY,Paylocity Holding Corporation,Technology,Software - Application,56,84.54,-0.046,0.829,0.82,0.01,0.05,65.05,54.99,70.1,66.06,36.25,BUY - High score acceptable risk
DDOG,"Datadog, Inc.",Technology,Software - Application,56,86.94,0.06,0.793,1.1,0.013,0.04,44.02,73.25,68.93,74.1,35.35,BUY - High score acceptable risk
DOCU,"DocuSign, Inc.",Technology,Software - Application,56,81.58,-0.053,0.881,0.92,0.011,0.33,101.89,61.86,71.91,67.14,35.01,BUY - High score acceptable risk
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,56,80.12,0.02,0.601,0.42,0.005,0.02,119.05,67.81,48.11,49.31,34.82,HOLD - Modest potential
MANH,"Manhattan Associates, Inc.",Technology,Software - Application,56,82.73,0.051,0.752,0.96,0.012,0.0,86.48,71.39,62.18,66.16,33.76,HOLD - Modest potential
PINS,"Pinterest, Inc.",Communication Services,Internet Content & Information,56,90.81,0.085,0.819,1.51,0.017,0.35,22.25,79.82,74.37,82.12,32.72,HOLD - Modest potential
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,56,88.62,-0.027,0.595,0.57,0.006,0.27,32.98,52.66,52.72,50.93,32.47,WATCH - Monitor for opportunity
SHOP,Shopify Inc.,Technology,Software - Application,56,89.73,0.098,0.86,1.7,0.019,0.02,27.98,74.26,77.14,86.37,31.97,HOLD - Modest potential
GWRE,"Guidewire Software, Inc.",Technology,Software - Application,56,82.67,-0.071,0.917,1.19,0.014,0.18,90.02,59.69,75.77,69.16,31.58,WATCH - Monitor for opportunity
