ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
DASH,27,92.26,0.0179,0.691,0.17,0.002,0.19,15.67,72.29,63.78,65.2,55.84,BUY - Stable quality
PINS,27,89.37,0.0784,0.869,0.66,0.007,0.38,27.93,83.03,77.67,85.18,51.46,BUY - Stable quality
AXON,27,92.09,-0.0271,0.716,0.25,0.003,0.12,16.56,53.51,65.91,63.68,50.98,BUY - Stable quality
META,27,94.61,0.0436,0.698,0.41,0.004,0.15,7.63,73.6,66.07,69.65,49.52,BUY - Stable quality
BRK-B,27,75.56,-0.0423,0.928,0.34,0.005,0.54,173.44,68.16,70.13,66.43,49.49,BUY - Stable quality
IPGP,27,73.87,0.0643,0.924,0.52,0.007,0.31,195.0,83.16,68.24,73.68,48.43,BUY - Stable quality
VEEV,27,96.46,-0.0198,0.581,0.2,0.002,0.12,5.11,49.52,56.03,54.64,45.43,BUY - Stable quality
TYL,27,77.91,-0.0578,0.92,0.47,0.006,0.19,141.07,60.83,71.65,66.51,45.26,BUY - Stable quality
MNST,27,94.14,-0.0571,0.77,0.51,0.005,0.31,8.41,58.71,72.47,67.34,44.69,BUY - Stable quality
ALGN,27,80.4,0.0502,0.746,0.45,0.006,0.0,115.04,71.83,60.0,63.75,43.9,BUY - Stable quality
ANSS,27,81.57,0.0666,0.787,0.58,0.007,0.12,102.96,75.19,64.17,69.47,43.84,BUY - Stable quality
TRMB,27,70.22,0.0643,0.88,0.53,0.008,0.27,240.33,81.02,61.78,66.7,43.48,BUY - Stable quality
DOCU,27,82.32,-0.0417,0.761,0.37,0.005,0.19,93.44,56.23,62.66,59.41,43.29,BUY - Stable quality
CDNS,27,93.06,0.0324,0.591,0.33,0.004,0.15,11.26,70.45,55.0,57.22,43.08,BUY - Stable quality
SPOT,27,89.11,-0.0149,0.567,0.15,0.002,0.15,29.93,49.92,50.56,49.61,42.99,BUY - Stable quality
NBIX,27,80.17,0.0283,0.654,0.27,0.003,0.08,117.63,70.81,52.4,54.25,42.62,BUY - Stable quality
TDG,27,75.57,0.0566,0.784,0.5,0.007,0.04,173.19,73.63,59.24,63.41,42.34,BUY - Stable quality
ZBRA,27,67.89,0.0701,0.891,0.58,0.009,0.08,280.07,77.41,60.46,65.7,41.63,BUY - Stable quality
AZTA,27,69.7,0.0288,0.727,0.26,0.004,0.0,249.52,71.42,50.64,52.46,41.53,BUY - Stable quality
DUOL,27,92.91,-0.0822,0.833,0.7,0.008,0.46,12.74,63.47,77.41,69.57,40.9,BUY - Stable quality
CPNG,27,72.73,0.0686,0.814,0.59,0.008,0.23,209.37,78.23,59.23,64.25,40.37,BUY - Stable quality
QRVO,27,68.14,0.0561,0.819,0.48,0.007,0.12,275.48,76.18,55.82,59.71,40.27,BUY - Stable quality
GWRE,27,83.71,-0.0975,0.957,0.78,0.009,0.19,78.59,61.64,80.14,70.56,39.73,BUY - High score acceptable risk
NOW,27,89.64,-0.0314,0.606,0.31,0.004,0.08,26.52,49.38,54.35,52.22,39.73,BUY - High score acceptable risk
ZM,27,85.08,-0.0364,0.657,0.35,0.004,0.04,60.74,50.07,55.9,53.36,39.54,BUY - High score acceptable risk
WDAY,27,84.39,-0.0716,0.824,0.61,0.007,0.0,69.3,53.99,69.55,63.39,39.26,BUY - High score acceptable risk
CPRT,27,88.94,-0.0759,0.797,0.66,0.007,0.31,30.67,59.31,70.85,64.22,38.64,BUY - High score acceptable risk
DDOG,27,86.09,0.0963,0.74,0.87,0.01,0.12,50.11,73.5,63.71,71.24,38.05,BUY - High score acceptable risk
MTD,27,67.45,0.0549,0.779,0.48,0.007,0.19,286.44,76.49,52.54,56.12,37.8,HOLD - Stable but flat
CELH,27,86.56,0.0992,0.738,0.9,0.01,0.08,45.19,72.64,63.88,71.65,37.72,BUY - High score acceptable risk
CRM,27,79.69,-0.028,0.612,0.28,0.004,0.23,122.74,52.62,48.77,47.06,36.79,BUY - High score acceptable risk
PDD,27,82.79,0.0256,0.546,0.27,0.003,0.23,88.81,70.67,45.21,46.65,36.75,BUY - High score acceptable risk
ROKU,27,84.82,0.0476,0.6,0.48,0.006,0.04,64.81,68.19,50.86,53.87,36.42,BUY - High score acceptable risk
IT,27,71.73,-0.0704,0.874,0.59,0.008,0.31,222.63,61.57,62.72,57.26,36.09,BUY - High score acceptable risk
GRAB,27,83.31,0.0602,0.638,0.59,0.007,0.15,82.89,71.52,53.18,57.16,36.02,BUY - High score acceptable risk
APP,27,82.33,-0.0082,0.475,0.09,0.001,0.12,93.44,46.45,39.11,38.71,35.44,BUY - High score acceptable risk
SKX,27,63.9,0.0374,0.709,0.35,0.005,0.27,347.0,76.11,45.3,47.41,35.21,HOLD - Stable but flat
ACLS,27,76.37,0.0247,0.555,0.26,0.003,0.15,162.67,69.38,42.37,43.67,34.71,HOLD - Modest potential
PLTR,27,101.73,-0.0246,0.452,0.28,0.003,0.19,1.04,47.12,45.98,44.57,34.69,WATCH - Monitor for opportunity
EPAM,27,77.71,-0.0367,0.634,0.36,0.005,0.27,144.44,53.95,49.29,47.03,34.6,WATCH - Monitor for opportunity
FFIV,27,90.85,-0.0173,0.466,0.2,0.002,0.04,21.33,44.52,42.31,41.39,34.56,WATCH - Monitor for opportunity
DECK,27,84.91,-0.0214,0.512,0.23,0.003,0.19,63.7,48.93,43.46,42.3,34.29,WATCH - Monitor for opportunity
PAYC,27,91.05,-0.0904,0.764,0.81,0.009,0.27,20.63,57.41,69.53,61.81,34.23,WATCH - Monitor for opportunity
DY,27,61.27,0.0651,0.808,0.56,0.009,0.31,395.78,79.48,49.52,53.51,34.22,HOLD - Modest potential
PODD,27,81.82,-0.0641,0.72,0.59,0.007,0.04,99.26,51.64,58.89,54.21,34.14,WATCH - Monitor for opportunity
PSTG,27,80.36,0.0311,0.543,0.33,0.004,0.12,115.37,68.18,43.62,45.31,34.1,HOLD - Modest potential
YELP,27,83.28,-0.0258,0.538,0.27,0.003,0.08,84.33,47.35,44.81,43.37,34.03,WATCH - Monitor for opportunity
NICE,27,81.3,-0.0627,0.715,0.58,0.007,0.08,105.41,52.28,58.13,53.61,33.97,WATCH - Monitor for opportunity
FCN,27,64.77,-0.0194,0.627,0.19,0.003,0.08,331.04,50.05,40.6,39.61,33.26,WATCH - Monitor for opportunity
MMYT,27,85.45,-0.0736,0.717,0.68,0.008,0.15,56.48,53.81,61.31,55.73,33.24,WATCH - Monitor for opportunity
CCJ,27,76.17,0.0859,0.708,0.79,0.01,0.08,165.22,71.73,53.91,59.61,33.21,HOLD - Modest potential
AMZN,27,79.78,0.0221,0.503,0.24,0.003,0.23,121.96,69.39,40.11,41.22,33.16,HOLD - Modest potential
SMCI,27,68.68,0.113,0.83,0.97,0.014,0.23,266.56,78.11,57.02,64.86,32.99,HOLD - Modest potential
GRMN,27,88.58,0.0807,0.607,0.81,0.009,0.0,32.41,67.31,53.8,59.16,32.74,HOLD - Modest potential
TSM,27,84.94,0.0748,0.614,0.74,0.009,0.15,62.96,70.62,52.16,56.98,32.67,HOLD - Modest potential
FSLR,27,71.1,0.0454,0.628,0.45,0.006,0.38,228.78,75.91,44.66,47.19,32.63,HOLD - Modest potential
