ticker,CompanyName,Country,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
IDXX,"IDEXX Laboratories, Inc.",United States,Healthcare,Diagnostics & Research,61,77.6,0.031,0.798,0.61,0.008,0.12,147.05,75.48,61.9,64.3,39.88,BUY - Stable quality
QLYS,"Qualys, Inc.",United States,Technology,Software - Infrastructure,61,89.02,-0.028,0.719,0.58,0.006,0.03,30.59,51.6,64.04,61.82,39.22,BUY - Stable quality
RMBS,Rambus Inc.,United States,Technology,Semiconductors,61,97.02,0.062,0.8,1.23,0.013,0.17,5.31,76.06,77.58,83.59,37.48,BUY - Stable quality
WDAY,"Workday, Inc.",United States,Technology,Software - Application,61,83.72,-0.046,0.867,0.87,0.01,0.05,76.26,55.97,72.57,68.44,36.68,BUY - Stable quality
CRM,"Salesforce, Inc.",United States,Technology,Software - Application,61,79.17,-0.029,0.76,0.59,0.007,0.13,128.26,54.72,60.15,57.96,36.46,BUY - Stable quality
PCTY,Paylocity Holding Corporation,United States,Technology,Software - Application,61,84.42,-0.047,0.864,0.89,0.011,0.07,66.89,56.19,72.91,68.67,36.39,BUY - Stable quality
MTD,Mettler-Toledo International Inc.,United States,Healthcare,Diagnostics & Research,61,68.18,0.042,0.904,0.78,0.011,0.15,272.69,78.96,61.61,64.85,36.37,BUY - Stable quality
DDOG,"Datadog, Inc.",United States,Technology,Software - Application,61,87.08,0.059,0.821,1.14,0.013,0.02,43.25,73.64,71.45,76.65,35.82,BUY - Stable quality
LSCC,Lattice Semiconductor Corporation,United States,Technology,Semiconductors,61,81.48,0.065,0.858,1.24,0.015,0.07,102.72,75.55,69.91,75.57,33.72,BUY - High score acceptable risk
MANH,"Manhattan Associates, Inc.",United States,Technology,Software - Application,61,82.81,0.047,0.743,0.96,0.012,0.02,85.82,71.48,61.56,65.14,33.31,BUY - High score acceptable risk
PINS,"Pinterest, Inc.",United States,Communication Services,Internet Content & Information,61,90.95,0.079,0.82,1.53,0.017,0.32,21.77,79.25,74.58,81.81,32.37,BUY - High score acceptable risk
CPRT,"Copart, Inc.",United States,Industrials,Specialty Business Services,61,88.59,-0.024,0.574,0.56,0.006,0.27,33.28,51.92,50.86,49.33,31.6,HOLD - Stable but flat
SHOP,Shopify Inc.,Canada,Technology,Software - Application,61,89.92,0.092,0.865,1.74,0.019,0.0,27.26,74.0,77.74,86.53,31.55,HOLD - Stable but flat
VEEV,Veeva Systems Inc.,United States,Healthcare,Health Information Services,61,95.73,-0.049,0.708,1.03,0.011,0.13,6.51,52.82,67.74,63.6,31.38,HOLD - Stable but flat
DOCU,"DocuSign, Inc.",United States,Technology,Software - Application,61,81.43,-0.055,0.846,1.05,0.013,0.28,103.49,59.76,68.92,64.2,31.25,HOLD - Stable but flat
B,Barrick Mining Corporation,Canada,Basic Materials,Gold,36,76.88,0.143,0.861,1.6,0.021,0.29,154.42,79.45,66.16,77.52,29.78,HOLD - Modest potential
NICE,NICE Ltd.,Israel,Technology,Software - Application,61,80.73,-0.033,0.654,0.72,0.009,0.02,112.0,49.04,52.76,50.58,29.35,HOLD - Good fundamentals
DT,"Dynatrace, Inc.",United States,Technology,Software - Application,61,85.18,-0.024,0.556,0.57,0.007,0.13,58.43,48.67,47.36,45.92,29.18,HOLD - Good fundamentals
FIZZ,National Beverage Corp.,United States,Consumer Defensive,Beverages - Non-Alcoholic,61,83.49,-0.033,0.632,0.74,0.009,0.18,78.67,51.73,52.74,50.54,29.03,HOLD - Good fundamentals
ADBE,Adobe Inc.,United States,Technology,Software - Application,61,79.58,-0.045,0.74,0.93,0.012,0.15,124.21,54.03,58.89,55.56,28.79,HOLD - Good fundamentals
AZTA,"Azenta, Inc.",United States,Healthcare,Medical Instruments & Supplies,61,70.41,0.035,0.671,0.76,0.011,0.07,237.62,70.38,47.24,49.32,28.02,HOLD - Modest potential
GRMN,Garmin Ltd.,Switzerland,Technology,Scientific & Technical Instruments,61,90.53,0.106,0.826,2.06,0.023,0.03,24.18,73.19,74.81,84.51,27.65,HOLD - Good fundamentals
ELF,"e.l.f. Beauty, Inc.",United States,Consumer Defensive,Household & Personal Products,61,78.4,0.093,0.871,1.76,0.022,0.22,138.21,78.22,68.28,76.09,27.59,HOLD - Good fundamentals
