Ticker,Score,Trend Direction,Trend Quality,SMA Position,Recent Cross,MACD Signal,MACD Histogram,RSI Level,RSI Trend,ROC,%B Position,BB Width,ADX Strength,DI Direction,ARIMA,Exp Smooth,Recommendation
PAYC,10.5,0.5,1,1,1.0,1,1.0,0.5,1.0,0.5,0.5,0.5,0,1,0.5,0.5,BUY
CGNX,10.5,1.0,1,1,0.5,1,1.0,0.0,1.0,0.5,0.0,0.5,1,1,0.5,0.5,BUY
RDDT,10.0,1.0,1,1,0.5,1,1.0,0.0,0.0,0.5,0.5,0.5,1,1,0.5,0.5,BUY
LSCC,10.0,0.5,1,1,0.5,1,1.0,0.5,0.5,0.5,0.0,0.5,1,1,0.5,0.5,BUY
FFIV,9.5,0.5,0,1,0.5,1,1.0,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,BUY
GRMN,9.5,1.0,1,1,0.5,0,0.0,0.5,1.0,0.5,0.5,0.5,1,1,0.5,0.5,BUY
RL,9.5,0.5,1,1,0.5,1,1.0,0.5,1.0,0.5,0.0,0.5,0,1,0.5,0.5,BUY
ABNB,9.0,0.5,0,1,0.5,1,1.0,0.0,0.5,0.5,0.5,0.5,1,1,0.5,0.5,BUY
ZM,9.0,0.5,1,0,0.5,1,1.0,1.0,0.0,0.5,1.0,0.5,1,0,0.5,0.5,BUY
GWRE,9.0,0.5,1,0,0.5,1,1.0,0.5,1.0,0.5,0.5,0.5,1,0,0.5,0.5,BUY
QLYS,9.0,0.5,1,0,0.5,1,1.0,0.5,1.0,0.5,0.5,0.5,1,0,0.5,0.5,BUY
DXCM,9.0,1.0,1,1,0.5,0,0.0,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,BUY
DOCU,9.0,0.5,1,0,0.5,1,0.5,1.0,1.0,0.5,0.5,0.5,1,0,0.5,0.5,BUY
PCTY,9.0,0.5,1,0,0.5,1,1.0,0.5,1.0,0.5,0.5,0.5,1,0,0.5,0.5,BUY
CCJ,9.0,1.0,1,1,0.5,0,0.0,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,BUY
SEIC,9.0,0.5,0,1,1.0,1,1.0,0.5,1.0,0.5,0.0,0.5,0,1,0.5,0.5,BUY
CRM,8.5,0.5,1,0,0.5,1,0.5,0.5,1.0,0.5,0.5,0.5,1,0,0.5,0.5,HOLD
ELF,8.5,0.5,1,1,0.5,0,0.5,0.5,0.0,0.5,0.5,0.5,1,1,0.5,0.5,HOLD
WDAY,8.5,0.5,1,0,0.5,1,1.0,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.5,HOLD
BKNG,8.5,0.5,1,1,0.5,0,0.0,0.0,1.0,0.5,0.5,0.5,1,1,0.5,0.5,HOLD
VEEV,8.5,0.5,1,0,0.5,1,1.0,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.5,HOLD
SHOP,8.5,1.0,1,1,0.5,0,0.0,0.5,0.0,0.5,0.5,0.5,1,1,0.5,0.5,HOLD
