ticker,CompanyName,Country,Sector,Industry,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
NVST,Envista Holdings Corporation,United States,Healthcare,Medical Instruments & Supplies,38,133.99,0.046,0.607,0.65,0.005,0.03,53.84,68.26,81.31,86.01,52.02,BUY - Stable quality
MANH,"Manhattan Associates, Inc.",United States,Technology,Software - Application,38,110.18,0.049,0.663,0.66,0.006,0.11,214.58,71.47,73.1,77.55,46.74,BUY - Stable quality
ALGM,"Allegro MicroSystems, Inc.",United States,Technology,Semiconductors,38,143.59,0.144,0.774,1.79,0.013,0.08,29.03,73.6,111.17,130.36,46.64,BUY - Quality growth
GNW,"Genworth Financial, Inc.",United States,Financial Services,Insurance - Life,38,141.82,0.037,0.49,0.58,0.004,0.24,32.82,49.15,69.49,72.72,45.91,BUY - Stable quality
MRCY,"Mercury Systems, Inc.",United States,Industrials,Aerospace & Defense,38,145.12,0.111,0.683,1.47,0.01,0.03,25.13,70.02,99.12,112.53,45.5,BUY - Quality growth
NTCT,"NetScout Systems, Inc.",United States,Technology,Software - Infrastructure,38,121.26,0.19,0.934,2.16,0.018,0.24,120.82,81.1,113.25,138.3,43.81,BUY - Quality growth
NBIX,"Neurocrine Biosciences, Inc.",United States,Healthcare,Drug Manufacturers - Specialty & Generic,38,144.81,0.254,0.913,2.91,0.02,0.35,26.24,82.41,132.24,169.33,43.3,BUY - Quality growth
VIAV,Viavi Solutions Inc.,United States,Technology,Communication Equipment,38,129.6,0.233,0.948,2.62,0.02,0.24,71.03,81.29,122.91,155.11,42.84,BUY - Quality growth
ZETA,Zeta Global Holdings Corp.,United States,Technology,Software - Infrastructure,38,126.11,0.153,0.813,1.86,0.015,0.43,87.45,81.56,102.5,121.2,42.37,BUY - Quality growth
AMBA,"Ambarella, Inc.",United States,Technology,Semiconductor Equipment & Materials,38,156.41,0.301,0.898,3.48,0.022,0.24,11.68,79.57,140.39,185.05,41.31,BUY - Quality growth
PPBI,"Pacific Premier Bancorp, Inc.",United States,Financial Services,Banks - Regional,37,121.8,0.166,0.841,2.01,0.017,0.17,116.59,76.91,102.45,122.62,40.68,BUY - Quality growth
GTLB,GitLab Inc.,United States,Technology,Software - Infrastructure,38,139.23,-0.088,0.703,1.15,0.008,0.08,40.58,51.9,97.94,87.36,40.67,BUY - Stable quality
HALO,"Halozyme Therapeutics, Inc.",United States,Healthcare,Biotechnology,38,113.5,0.141,0.817,1.71,0.015,0.57,185.42,84.35,92.7,108.4,39.98,BUY - Quality growth
VICR,Vicor Corporation,United States,Technology,Electronic Components,38,136.78,0.283,0.939,3.21,0.023,0.3,46.66,81.76,128.37,167.5,39.82,BUY - Quality growth
ZM,Zoom Communications Inc.,United States,Technology,Software - Application,38,121.42,0.145,0.773,1.81,0.015,0.03,118.45,72.26,93.91,110.21,39.27,BUY - Quality growth
DECK,Deckers Outdoor Corporation,United States,Consumer Cyclical,Footwear & Accessories,38,119.74,0.055,0.545,0.81,0.007,0.3,131.74,71.61,65.23,69.65,38.47,BUY - Stable quality
INCY,Incyte Corporation,United States,Healthcare,Biotechnology,38,145.37,0.127,0.622,1.76,0.012,0.3,24.66,73.4,90.44,104.32,37.75,BUY - Stable quality
EDU,New Oriental Education & Technology Group Inc.,China,Consumer Defensive,Education & Training Services,38,92.2,0.089,0.77,1.11,0.012,0.3,373.47,77.84,71.0,78.79,37.25,BUY - Stable quality
PANW,"Palo Alto Networks, Inc.",United States,Technology,Software - Infrastructure,38,93.98,0.136,0.869,1.6,0.017,0.24,355.66,79.24,81.7,95.1,36.53,BUY - Stable quality
TYL,"Tyler Technologies, Inc.",United States,Technology,Software - Application,38,109.84,-0.099,0.829,1.19,0.011,0.14,217.11,56.48,91.03,79.99,36.49,BUY - Stable quality
MHO,"M/I Homes, Inc.",United States,Consumer Cyclical,Residential Construction,38,139.21,0.319,0.912,3.66,0.026,0.38,40.74,82.3,126.99,169.07,36.26,BUY - Stable quality
RMBS,Rambus Inc.,United States,Technology,Semiconductors,38,157.4,0.166,0.628,2.29,0.015,0.16,10.82,70.62,98.81,118.17,35.9,BUY - Stable quality
IOT,Samsara Inc.,United States,Technology,Software - Infrastructure,38,119.09,-0.068,0.627,0.94,0.008,0.19,137.21,51.79,74.62,68.33,35.17,BUY - Stable quality
CRL,"Charles River Laboratories International, Inc.",United States,Healthcare,Diagnostics & Research,38,71.61,0.051,0.753,0.64,0.009,0.19,569.34,75.46,53.9,57.31,34.85,BUY - High score acceptable risk
MHK,"Mohawk Industries, Inc.",United States,Consumer Cyclical,"Furnishings, Fixtures & Appliances",38,118.05,0.204,0.824,2.47,0.021,0.24,146.89,77.49,97.28,120.16,34.65,BUY - High score acceptable risk
CYBR,CyberArk Software Ltd.,Israel,Technology,Software - Infrastructure,38,131.04,0.05,0.45,0.81,0.006,0.08,63.84,44.5,58.97,62.61,34.55,BUY - High score acceptable risk
