ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
DASH,17,92.19,0.0339,0.93,0.17,0.002,0.5,16.12,87.72,85.75,89.38,76.25,BUY - Stable quality
PINS,17,88.96,0.0505,0.836,0.27,0.003,0.12,29.88,77.28,74.37,79.04,62.21,BUY - Stable quality
DECK,17,85.01,-0.0397,0.853,0.21,0.002,0.31,63.35,61.58,72.48,68.89,56.91,BUY - Stable quality
IDXX,17,76.98,0.033,0.83,0.18,0.002,0.44,155.71,83.41,63.87,66.5,56.48,BUY - Stable quality
DOCU,17,82.51,-0.0478,0.89,0.25,0.003,0.38,91.41,63.89,73.41,69.05,55.32,BUY - Stable quality
APP,17,82.36,-0.0182,0.742,0.1,0.001,0.38,92.88,59.64,61.13,59.73,54.12,BUY - Stable quality
CPRT,17,89.34,-0.054,0.833,0.29,0.003,0.38,28.35,62.16,74.41,69.42,53.81,BUY - Stable quality
BRK-B,17,75.79,-0.0264,0.837,0.14,0.002,0.5,170.59,64.92,63.43,61.35,53.76,BUY - Stable quality
NOW,17,89.75,-0.0446,0.789,0.25,0.003,0.12,25.59,55.89,70.8,66.87,53.66,BUY - Stable quality
ABNB,17,84.53,-0.0367,0.752,0.21,0.002,0.31,68.88,58.56,63.54,60.63,50.21,BUY - Stable quality
MMSI,17,73.41,-0.0517,0.904,0.27,0.004,0.56,200.29,68.02,66.39,62.12,49.06,BUY - Stable quality
ALGN,17,80.16,0.0682,0.769,0.38,0.005,0.12,117.35,75.08,61.61,66.81,48.37,BUY - Stable quality
META,17,94.42,0.0524,0.63,0.32,0.003,0.06,8.0,69.81,59.48,63.35,47.88,BUY - Stable quality
IPGP,17,73.56,0.0734,0.826,0.4,0.005,0.25,199.0,79.24,60.75,66.26,47.48,BUY - Stable quality
UTHR,17,90.57,-0.0385,0.67,0.23,0.003,0.25,23.18,54.84,60.66,57.75,46.95,BUY - Stable quality
NXT,17,92.71,0.098,0.704,0.57,0.006,0.38,12.88,78.0,65.25,73.08,46.48,BUY - Stable quality
TYL,17,78.2,-0.0549,0.817,0.3,0.004,0.19,137.12,57.89,63.93,59.57,45.91,BUY - Stable quality
WDAY,17,84.71,-0.0999,0.907,0.51,0.006,0.25,65.76,61.62,76.87,67.46,44.57,BUY - Stable quality
KEYS,17,84.83,0.0334,0.604,0.21,0.002,0.0,66.06,67.87,51.22,53.36,44.08,BUY - Stable quality
TDG,17,75.27,0.0283,0.66,0.17,0.002,0.06,176.24,70.83,49.7,51.45,43.95,BUY - Stable quality
CCJ,17,75.85,0.1495,0.87,0.79,0.01,0.25,169.24,80.06,65.97,77.76,43.56,BUY - Stable quality
RDDT,17,90.98,0.0561,0.603,0.35,0.004,0.25,20.88,72.69,54.83,58.65,43.32,BUY - Stable quality
CPNG,17,72.42,0.0684,0.759,0.38,0.005,0.12,213.82,74.73,54.95,59.61,43.04,BUY - Stable quality
NTCT,17,78.09,0.0487,0.666,0.29,0.004,0.06,138.53,70.85,52.0,55.15,42.67,BUY - Stable quality
YELP,17,83.37,-0.0524,0.712,0.3,0.004,0.19,83.24,54.73,59.32,55.46,42.53,BUY - Stable quality
GWRE,17,84.16,-0.116,0.93,0.59,0.007,0.12,73.06,59.69,78.25,67.21,42.29,BUY - Stable quality
CELH,17,86.17,0.1507,0.759,0.85,0.01,0.12,48.71,74.28,65.39,77.15,41.76,BUY - Stable quality
GRMN,17,88.27,0.1494,0.742,0.85,0.01,0.12,33.41,73.78,65.45,77.14,41.7,BUY - Stable quality
PLTR,17,101.8,-0.0462,0.564,0.3,0.003,0.06,1.0,47.87,57.4,54.1,41.58,BUY - Stable quality
VRTX,17,84.12,-0.0211,0.576,0.14,0.002,0.19,73.65,50.86,48.41,47.14,41.49,BUY - Stable quality
QGEN,17,76.79,0.0734,0.706,0.43,0.006,0.06,158.12,71.87,54.2,59.12,41.4,BUY - Stable quality
CMG,17,70.53,0.1545,0.886,0.8,0.011,0.25,234.65,80.44,62.49,73.99,41.01,BUY - Stable quality
TAL,17,83.93,-0.1131,0.892,0.59,0.007,0.38,76.0,63.56,74.87,64.56,40.68,BUY - Stable quality
PDD,17,82.69,0.0334,0.573,0.22,0.003,0.12,90.12,69.42,47.37,49.34,40.57,BUY - Stable quality
AZTA,17,69.55,0.0228,0.637,0.14,0.002,0.25,249.0,73.92,44.32,45.58,39.98,HOLD - Stable but flat
ELF,17,76.71,0.0375,0.61,0.24,0.003,0.44,159.24,76.76,46.83,49.02,39.68,BUY - High score acceptable risk
IT,17,72.11,-0.0437,0.725,0.25,0.003,0.25,217.29,56.41,52.31,49.46,39.53,BUY - High score acceptable risk
RMBS,17,95.85,0.0371,0.491,0.26,0.003,0.0,6.0,44.47,47.09,49.27,39.13,BUY - High score acceptable risk
DUOL,17,93.27,-0.1168,0.801,0.64,0.007,0.5,11.18,63.35,74.72,64.11,39.11,BUY - High score acceptable risk
DY,17,60.96,0.0847,0.84,0.45,0.007,0.5,400.53,84.46,51.21,56.55,38.93,HOLD - Stable but flat
ITRI,17,69.16,0.1615,0.852,0.86,0.012,0.56,254.82,85.57,58.92,70.21,37.8,HOLD - Modest potential
CRM,17,79.81,-0.0447,0.635,0.27,0.003,0.12,121.29,51.2,50.67,47.85,37.54,BUY - High score acceptable risk
ILMN,17,58.51,0.1092,0.88,0.57,0.01,0.25,442.0,80.42,51.48,58.34,37.15,HOLD - Modest potential
NICE,17,81.61,-0.0407,0.601,0.26,0.003,0.0,101.59,47.7,49.02,46.54,37.01,BUY - High score acceptable risk
MELI,17,81.77,0.0397,0.542,0.26,0.003,0.25,99.88,70.94,44.33,46.53,36.8,BUY - High score acceptable risk
NVDA,17,99.81,0.1767,0.636,1.09,0.011,0.25,2.88,72.98,63.44,76.61,36.73,BUY - High score acceptable risk
RL,17,74.51,0.1216,0.723,0.7,0.009,0.5,187.0,80.76,53.9,61.84,36.37,BUY - High score acceptable risk
ZBRA,17,67.53,0.0663,0.691,0.39,0.006,0.12,283.94,72.64,46.63,50.46,36.28,HOLD - Stable but flat
LPX,17,73.27,0.1513,0.772,0.84,0.012,0.12,202.47,74.5,56.55,66.76,36.21,BUY - High score acceptable risk
NVT,17,68.84,0.1963,0.87,1.03,0.015,0.38,260.65,82.1,59.9,73.52,36.2,HOLD - Modest potential
