ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
DASH,13,92.12,0.036,0.881,0.14,0.002,0.42,16.23,84.6,81.12,84.77,74.12,BUY - Stable quality
PDD,13,82.66,0.0586,0.896,0.23,0.003,0.5,89.31,86.6,74.07,79.45,64.52,BUY - Stable quality
UTHR,13,90.61,-0.0614,0.921,0.24,0.003,0.5,22.69,67.36,83.44,77.09,62.21,BUY - Stable quality
SPOT,13,89.23,0.0046,0.701,0.02,0.0,0.42,28.23,63.9,62.55,62.9,61.65,BUY - Stable quality
NXT,13,92.53,0.0975,0.797,0.41,0.004,0.33,13.46,80.12,73.71,82.51,58.58,BUY - Stable quality
DOCU,13,82.6,-0.0529,0.911,0.21,0.003,0.5,89.54,67.09,75.28,70.33,58.26,BUY - Stable quality
APP,13,82.38,-0.0254,0.795,0.11,0.001,0.17,91.92,57.05,65.47,63.4,57.29,BUY - Stable quality
PINS,13,88.85,0.049,0.737,0.21,0.002,0.17,29.85,75.21,65.52,69.51,57.28,BUY - Stable quality
CPRT,13,89.43,-0.0678,0.837,0.28,0.003,0.33,27.15,61.47,74.86,68.58,53.69,BUY - Stable quality
IDXX,13,76.91,0.0334,0.761,0.14,0.002,0.5,154.77,82.66,58.56,61.0,53.37,BUY - Stable quality
AMD,13,84.59,0.2098,0.919,0.82,0.01,0.25,67.62,81.61,77.75,96.46,53.03,BUY - Quality growth
META,13,94.3,0.053,0.655,0.25,0.003,0.08,8.31,71.06,61.79,65.86,52.9,BUY - Stable quality
KEYS,13,84.8,0.0513,0.719,0.23,0.003,0.17,66.08,74.63,60.96,64.85,52.88,BUY - Stable quality
MTSI,13,87.04,0.0788,0.73,0.35,0.004,0.33,38.85,78.18,63.56,69.74,51.85,BUY - Stable quality
RMBS,13,95.81,0.0604,0.644,0.28,0.003,0.17,6.0,72.37,61.73,66.36,51.77,BUY - Stable quality
YELP,13,83.43,-0.0813,0.896,0.32,0.004,0.17,81.69,59.84,74.78,67.29,50.93,BUY - Stable quality
BRK-B,13,75.85,-0.0226,0.758,0.1,0.001,0.5,168.08,62.6,57.47,55.85,50.91,BUY - Stable quality
NOW,13,89.84,-0.0486,0.717,0.21,0.002,0.17,24.69,54.6,64.4,60.5,49.8,BUY - Stable quality
DECK,13,85.11,-0.0315,0.678,0.14,0.002,0.25,61.46,55.18,57.72,55.45,48.5,BUY - Stable quality
MMSI,13,73.53,-0.0416,0.795,0.17,0.002,0.42,197.31,61.95,58.47,55.44,47.19,BUY - Stable quality
ABNB,13,84.59,-0.0445,0.707,0.2,0.002,0.5,67.62,60.98,59.82,56.51,47.18,BUY - Stable quality
CELH,13,85.95,0.209,0.822,0.86,0.01,0.17,50.69,76.99,70.65,87.59,47.02,BUY - Quality growth
MELI,13,81.7,0.0521,0.649,0.24,0.003,0.17,99.77,72.52,53.06,56.49,45.49,BUY - Stable quality
WDAY,13,84.88,-0.1223,0.92,0.48,0.006,0.33,62.77,63.71,78.1,66.52,45.03,BUY - Stable quality
IPGP,13,73.43,0.0771,0.741,0.34,0.005,0.08,199.23,73.43,54.39,59.56,44.61,BUY - Stable quality
CCJ,13,75.58,0.172,0.834,0.7,0.009,0.33,170.77,80.76,63.04,75.81,44.48,BUY - Stable quality
RDDT,13,90.9,0.0774,0.612,0.37,0.004,0.17,21.08,71.28,55.61,60.93,44.46,BUY - Stable quality
