Factor,Weight,Correlation,Effectiveness
momentum,8.34,0.41897799904915767,3.494276512069975
technical,8.33,0.23181429033455375,1.9310130384868327
growth,8.33,0.11583067800185522,0.964869547755454
financial_health,8.33,0.099133690972158,0.8257836457980762
liquidity,8.33,0.0909541764810738,0.7576482900873448
size,8.33,0.08991879641598315,0.7490235741451396
insider,8.33,0.048371125378656864,0.4029314744042117
options_flow,8.33,0.04787440570876572,0.39879379955401845
value,8.33,0.024816799198197435,0.20672393732098462
carry,8.33,-0.03543318413330612,-0.29515842383044
quality,8.33,-0.15969750673443162,-1.3302802310978155
stability,8.33,-0.22926815314991353,-1.9098037157387797
