Factor,Weight,Correlation,Effectiveness
momentum,14.1,0.41897799904915767,5.907589786593123
technical,12.4,0.23181429033455375,2.8744972001484665
growth,6.1,0.11583067800185522,0.7065671358113168
financial_health,6.1,0.099133690972158,0.6047155149301637
liquidity,6.1,0.0909541764810738,0.5548204765345501
size,6.1,0.08935511885752527,0.5450662250309041
options_flow,9.6,0.04787440570876572,0.4595942948041509
insider,6.1,0.048371125378656864,0.29506386480980684
value,10.5,0.023844228769272925,0.2503644020773657
carry,6.1,-0.06339301277042453,-0.3866973778995896
quality,9.0,-0.15969750673443162,-1.4372775606098847
stability,7.8,-0.22926815314991353,-1.7882915945693254
