Factor,Pearson,p-value,Spearman,Significant,Error
momentum,0.428749207615871,1.6786748770632454e-16,0.41897799904915767,Yes,
technical,0.13804163302047176,0.011185549558953373,0.23181429033455375,Yes,
growth,0.1709683004809901,0.001632010984724597,0.11583067800185522,Yes,
financial_health,0.06599555007014776,0.2269190055274117,0.099133690972158,No,
liquidity,0.049094456995810484,0.3689469346271346,0.0909541764810738,No,
size,0.06529376246961019,0.23190867911326155,0.08904575090495205,No,
insider,0.04996889073834191,0.36046993885580103,0.048371125378656864,No,
options_flow,0.0181526122946462,0.7398689723846659,0.03227639337323355,No,
value,0.10883073099741213,0.04589291938060927,0.023172772036013835,Yes,
carry,-0.08485347358790854,0.12001273782649975,-0.06249320785904703,No,
quality,-0.12926627433540774,0.017588664476294057,-0.15969750673443162,Yes,
stability,-0.23228729825524197,1.6515103232617957e-05,-0.22926815314991353,Yes,
