Factor,Weight,Correlation,Effectiveness
momentum,55.0,0.41897799904915767,23.043789947703672
technical,27.0,0.23181429033455375,6.258985839032952
stability,-7.2,-0.22926815314991353,1.6507307026793774
quality,-5.8,-0.15848566274751452,0.9192168439355842
growth,6.7,0.11710923688081647,0.7846318871014704
financial_health,5.7,0.09924770001678324,0.5657118900956645
liquidity,5.3,0.0909541764810738,0.48205713534969113
size,5.2,0.08904575090495205,0.4630379047057507
insider,2.8,0.048371125378656864,0.1354391510602392
carry,-1.6,-0.062222371624701955,0.09955579459952313
value,2.6,0.021868005335612197,0.05685681387259171
options_flow,4.3,-0.03948629275738952,-0.16979105885677492
