Factor,Weight,Correlation,Effectiveness
momentum,35.0,0.41897799904915767,14.664229966720518
technical,22.0,0.23181429033455375,5.099914387360182
growth,14.0,0.11710923688081647,1.6395293163314306
stability,-6.0,-0.22926815314991353,1.3756089188994811
quality,-7.0,-0.15795477923105122,1.1056834546173586
financial_health,10.0,0.09924770001678324,0.9924770001678324
liquidity,8.0,0.0909541764810738,0.7276334118485904
size,6.0,0.08904575090495205,0.5342745054297123
value,10.0,0.022206151772175466,0.22206151772175467
insider,3.0,0.048371125378656864,0.14511337613597058
carry,0.0,-0.062222371624701955,-0.0
options_flow,5.0,-0.03948629275738952,-0.1974314637869476
