Factor,Pearson,p-value,Spearman,Significant,Error
momentum,0.428749207615871,1.6786748770632454e-16,0.41897799904915767,Yes,
technical,0.13804163302047176,0.011185549558953373,0.23181429033455375,Yes,
growth,0.1884823530897573,0.0005043270735598322,0.11710923688081647,Yes,
financial_health,0.06690953806498494,0.22053552856639597,0.09924770001678324,No,
liquidity,0.050645643111419794,0.35399356382462166,0.09187704767737677,No,
size,0.06529376246961019,0.23190867911326155,0.08904575090495205,No,
options_flow,0.025674253038189924,0.6386101960548152,0.049697683184825515,No,
insider,0.06000104392833892,0.2720429440070317,0.02941108501675076,No,
value,0.10960524863889315,0.04436028128736856,0.021868005335612197,Yes,
carry,-0.08371760330450362,0.1250704050584931,-0.062222371624701955,No,
quality,-0.1315289029342951,0.015688457622614525,-0.15848566274751452,Yes,
stability,-0.23228729825524197,1.6515103232617957e-05,-0.22926815314991353,Yes,
