Factor,Pearson,p-value,Spearman,Significant,Error
momentum,0.34473670205896895,7.743168139081476e-11,0.36421651962933455,Yes,
liquidity,0.050676667678321706,0.35369843065636475,0.14316792590277955,Yes,
technical,0.056447555266587846,0.3015041450984108,0.13194543896101682,Yes,
financial_health,0.0944108645806419,0.08352654837074613,0.12214011943597182,Yes,
insider,0.11189829794210551,0.040072670451685076,0.11355773616358056,Yes,
value,0.19406152595980813,0.00033917193049525575,0.08178388028305489,Yes,
options_flow,0.07977642592469184,0.14390867165619864,0.060405328306407,No,
growth,0.11878130586361693,0.029245840157462122,0.05669660865316045,Yes,
size,0.05820644821697446,0.2866670279062062,0.04969379502901224,No,
carry,-0.11452150880925652,0.03560213369031228,-0.0770137623505704,Yes,
quality,-0.16778140849059994,0.0019978607807498677,-0.17621825744804612,Yes,
stability,-0.2075132720567992,0.0001244790055716024,-0.22838673147166338,Yes,
