Factor,Weight,Correlation,Effectiveness
momentum,12.3,0.42533102894331987,5.231571656002835
technical,10.8,0.18769590016195203,2.027115721749082
value,11.2,0.10460330937623977,1.1715570650138853
options_flow,10.2,0.07951167342491261,0.8110190689341086
liquidity,6.4,0.10558272933569122,0.6757294677484239
insider,6.4,0.0916462200632392,0.586535808404731
size,6.4,0.09147879959864856,0.5854643174313509
financial_health,6.4,0.08027822817856249,0.5137806603428
growth,6.4,0.04757908712446326,0.30450615759656485
carry,6.4,-0.02231102015854188,-0.14279052901466802
stability,8.2,-0.20426368222835836,-1.6749621942725383
quality,8.9,-0.22549452829154099,-2.006901301794715
