Factor,Weight,Correlation,Effectiveness
momentum,38.8,0.42533102894331987,16.50284392300081
technical,19.5,0.18769590016195203,3.6600700531580648
quality,-10.2,-0.2254427882541917,2.2995164401927553
value,19.8,0.10462838735173327,2.071642069564319
stability,-9.8,-0.20426368222835836,2.001784085837912
options_flow,14.5,0.07557027521016126,1.0957689905473382
liquidity,7.6,0.10558272933569122,0.8024287429512533
size,6.1,0.09147879959864856,0.5580206775517562
insider,6.1,0.09089328787182505,0.5544490560181328
financial_health,6.1,0.0819159696749763,0.4996874150173554
growth,3.8,0.04757908712446326,0.18080053107296037
carry,-2.3,-0.058097884577368406,0.13362513452794733
