Factor,Pearson,p-value,Spearman,Significant,Error
momentum,0.4236373049091431,4.1432743739926896e-16,0.4353181480071781,Yes,
technical,0.08803374986094642,0.10669810185760456,0.1981955500393119,Yes,
liquidity,0.0465402597355906,0.3944068588402391,0.11513673428156436,Yes,
insider,0.09772623359584458,0.07319061966779226,0.08540747310491331,No,
value,0.18426392739158215,0.0006757843104976017,0.08410265602611025,Yes,
financial_health,0.049230301948763815,0.3676219790057913,0.07861394738663673,No,
options_flow,0.05164756285772083,0.3445407432438943,0.07378354953621862,No,
growth,0.12165192916357856,0.02553342410665272,0.0657360795113654,Yes,
size,0.05178656705750144,0.34324206132463453,0.06179878167938412,No,
carry,0.020335395435634864,0.7099228840041385,-0.020198239365761893,No,
stability,-0.18327286775314935,0.0007232246077180394,-0.18029385800440803,Yes,
quality,-0.1474917146140964,0.006680250356160298,-0.1874251495378985,Yes,
