Factor,Weight,Correlation,Effectiveness
momentum,30.0,0.42533102894331987,12.759930868299596
technical,18.0,0.18769590016195203,3.3785262029151366
quality,-8.0,-0.22549452829154099,1.8039562263323279
value,16.0,0.10460330937623977,1.6736529500198363
liquidity,12.0,0.10558272933569122,1.2669927520282946
stability,-5.0,-0.20426368222835836,1.021318411141792
options_flow,11.0,0.07951167342491261,0.8746284076740387
insider,8.0,0.0916462200632392,0.7331697605059136
size,7.0,0.09147879959864856,0.6403515971905399
financial_health,6.0,0.08027822817856249,0.4816693690713749
growth,4.0,0.04757908712446326,0.19031634849785303
carry,1.0,-0.02231102015854188,-0.02231102015854188
