Factor,Pearson,p-value,Spearman,Significant,Error
momentum,0.420079514296281,7.700667074058923e-16,0.42533102894331987,Yes,
technical,0.08210993157827792,0.13250967170992675,0.18769590016195203,Yes,
liquidity,0.031416129664385145,0.565478974870146,0.10558272933569122,No,
value,0.21104556354097914,9.463663274736681e-05,0.10460330937623977,Yes,
insider,0.11166809091572617,0.04048668597730233,0.09163327399323042,Yes,
size,0.08656804975490417,0.11268202038472341,0.09147879959864856,No,
financial_health,0.04433655387319779,0.4172015438797492,0.08027822817856249,No,
growth,0.10896620450234859,0.045621680336658456,0.04757908712446326,Yes,
options_flow,0.05093190912089156,0.35127622755978855,-0.0003213241750742165,No,
carry,-0.022095536426899827,0.6860933172151922,-0.02231102015854188,No,
stability,-0.19327644735319333,0.0003588845173254562,-0.20426368222835836,Yes,
quality,-0.1811584113660191,0.000834907554239006,-0.22549452829154099,Yes,
