Factor,Pearson,p-value,Spearman,Significant,Error
momentum,0.4397966049748151,2.2593122803082e-17,0.4508969414692144,Yes,
technical,0.11867498267548104,0.0293917904531999,0.2277438882436049,Yes,
liquidity,0.07788688580729256,0.15367541844322363,0.14553525948787116,Yes,
financial_health,0.07616261401305235,0.16301832898601276,0.10931708562341384,Yes,
options_flow,0.06099029727544487,0.2642027496782333,0.09540061396674843,No,
growth,0.1603806380671678,0.0031532199072792397,0.0929092418907458,Yes,
size,0.027846418778552033,0.6104776698364945,0.030868916465264903,No,
insider,0.07355538932783989,0.17794616273567154,0.020713415566318085,No,
value,0.13408227331109815,0.013762204322620725,0.01975709954261358,Yes,
carry,-0.06368264584650052,0.24365566699442118,-0.05024980608729519,No,
quality,-0.13621820642956095,0.012313853186240717,-0.16341695287149674,Yes,
stability,-0.21286830467382223,8.200811200871436e-05,-0.21405859967433238,Yes,
