Factor,Weight,Correlation,Effectiveness
momentum,8.34,0.4508969414692144,3.7604804918532477
technical,8.33,0.2277438882436049,1.8971065890692287
liquidity,8.33,0.14553525948787116,1.2123087115339668
financial_health,8.33,0.10931708562341384,0.9106113232430373
options_flow,8.33,0.09540061396674843,0.7946871143430144
growth,8.33,0.0929092418907458,0.7739339849499125
size,8.33,0.030868916465264903,0.25713807415565665
insider,8.33,0.020713415566318085,0.17254275166742966
value,8.33,0.01975709954261358,0.16457663918997112
carry,8.33,-0.05024980608729519,-0.418580884707169
quality,8.33,-0.16341695287149674,-1.3612632174195678
stability,8.33,-0.21405859967433238,-1.7831081352871887
