Factor,Pearson,p-value,Spearman,Significant,Error
momentum,0.4397966049748151,2.2593122803082e-17,0.4508969414692144,Yes,
technical,0.11867498267548104,0.0293917904531999,0.2277438882436049,Yes,
liquidity,0.07788688580729256,0.15367541844322363,0.14553525948787116,Yes,
financial_health,0.07616261401305235,0.16301832898601276,0.10931708562341384,Yes,
options_flow,0.06725436596113177,0.21816080817150632,0.09799583756800102,No,
growth,0.1603806380671678,0.0031532199072792397,0.0929092418907458,Yes,
size,0.02854986789716763,0.6014858058601621,0.031808419786911166,No,
insider,0.0890007258417727,0.1028895397816046,0.024238667278644817,No,
value,0.13502832064889628,0.013103181554335428,0.021547112958724003,Yes,
carry,-0.023383246962324626,0.668852867409702,-0.07606628783117765,No,
quality,-0.13621820642956095,0.012313853186240717,-0.16341695287149674,Yes,
stability,-0.21286830467382223,8.200811200871436e-05,-0.21405859967433238,Yes,
