Factor,Weight,Correlation,Effectiveness
momentum,12.1,0.4508969414692144,5.455852991777494
technical,11.1,0.2277438882436049,2.5279571595040142
liquidity,6.7,0.14553525948787116,0.9750862385687368
options_flow,9.4,0.09799583756800102,0.9211608731392097
financial_health,6.7,0.10931708562341384,0.7324244736768728
growth,6.7,0.0929092418907458,0.6224919206679969
value,10.8,0.021547112958724003,0.23270881995421924
size,6.7,0.031808419786911166,0.21311641257230482
insider,6.7,0.024238667278644817,0.16239907076692028
carry,6.7,-0.07606628783117765,-0.5096441284688903
quality,8.6,-0.16341695287149674,-1.405385794694872
stability,7.8,-0.21405859967433238,-1.6696570774597925
