Factor,Pearson,p-value,Spearman,Significant,Error
momentum,0.4364853122785822,4.153241198743316e-17,0.4302751873716614,Yes,
technical,0.06777259268585092,0.2146264432694345,0.21643481013226193,Yes,
liquidity,0.06286052761510383,0.24980764422619486,0.1397456344012725,Yes,
options_flow,0.0617248341819599,0.25848256797172187,0.11769995543269113,Yes,
financial_health,0.05261759343040597,0.3355430522882756,0.11227221262307971,Yes,
growth,0.12700378096311749,0.019686564742930093,0.06872270418392684,Yes,
insider,0.10048157090718438,0.0654154665140978,0.06428036441064934,No,
value,0.1910551074504424,0.000420589579394005,0.05650467554212184,Yes,
size,0.05654029150509839,0.3007093837576332,0.03912247309314558,No,
carry,0.009216475345407179,0.8661372890604169,-0.0739489246601067,No,
quality,-0.13227543882538498,0.015102225092975076,-0.16233009978935747,Yes,
stability,-0.18872661937095064,0.0004957575709971162,-0.2074015684895386,Yes,
