Factor,Weight,Correlation,Effectiveness
momentum,43.5,0.4302751873716614,18.71697065066727
technical,21.4,0.21643481013226193,4.631704936830405
options_flow,10.4,0.11769995543269113,1.2240795364999877
liquidity,7.7,0.1397456344012725,1.0760413848897983
stability,-4.5,-0.2074015684895386,0.9333070582029237
value,16.3,0.05650467554212184,0.921026211336586
quality,-5.0,-0.16233009978935747,0.8116504989467874
financial_health,5.1,0.11227221262307971,0.5725882843777065
growth,3.2,0.06872270418392684,0.21991265338856592
carry,-1.3,-0.0739489246601067,0.09613360205813871
insider,1.3,0.06428036441064934,0.08356447373384415
size,1.9,0.03912247309314558,0.07433269887697659
